,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"15,730","20,831","25,581","32,144","36,701","31,136","47,568","50,569","60,427","70,676","75,379","85,651","97,447"
Expenses +,"13,275","17,135","19,901","24,108","28,215","24,482","37,178","39,323","46,501","53,360","55,331","65,122","75,630"
Operating Profit,"2,456","3,695","5,680","8,035","8,486","6,654","10,390","11,246","13,926","17,316","20,048","20,529","21,817"
OPM %,16%,18%,22%,25%,23%,21%,22%,22%,23%,24%,27%,24%,22%
Other Income +,300,206,332,677,"1,126",871,"1,069","1,230",943,589,927,"1,067","1,222"
Interest,160,143,106,114,91,74,89,69,174,505,511,319,324
Depreciation,460,549,637,681,404,410,828,"1,383","2,073","3,420","4,611","4,326","4,102"
Profit before tax,"2,135","3,210","5,270","7,917","9,117","7,041","10,542","11,024","12,622","13,980","15,853","16,951","18,613"
Tax %,23%,24%,23%,18%,20%,20%,18%,21%,20%,21%,30%,20%,
Net Profit,"1,647","2,423","4,040","6,528","7,342","5,602","8,606","8,722","10,120","11,057","11,169","13,523","14,463"
EPS in Rs,5.98,8.74,14.49,23.25,26.02,19.86,30.16,31.32,37.31,40.75,41.07,49.74,53.29
