,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,543","1,052","1,948","2,549","3,420","5,531","4,774","5,499","5,172","8,125","7,242","6,390","7,094"
Expenses +,"1,167",754,"1,368","1,829","2,426","4,464","3,855","4,222","3,718","5,769","5,308","4,872","5,406"
Operating Profit,377,299,579,720,994,"1,068",920,"1,277","1,454","2,356","1,934","1,517","1,688"
OPM %,24%,28%,30%,28%,29%,19%,19%,23%,28%,29%,27%,24%,24%
Other Income +,66,32,64,97,99,288,99,82,232,161,"3,036","1,018","1,339"
Interest,123,119,149,229,321,346,316,566,723,"1,023",979,555,674
Depreciation,61,61,68,89,140,127,164,155,323,667,593,471,553
Profit before tax,258,151,426,500,631,882,539,638,640,827,"3,398","1,509","1,800"
Tax %,35%,41%,31%,35%,42%,26%,31%,33%,31%,34%,15%,20%,
Net Profit,166,82,291,321,367,653,373,425,442,549,"2,878","1,215","1,439"
EPS in Rs,5.21,2.52,8.17,8.98,8.86,16.26,7.06,9.90,11.08,10.06,69.41,28.69,34.25
