,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"37,325","48,894","62,989","81,809","94,648","108,646","117,966","123,104","146,463","156,949","164,177","191,754","216,887"
Expenses +,"26,146","34,459","44,950","56,657","70,167","77,969","85,655","90,588","106,957","114,840","117,631","138,697","159,557"
Operating Profit,"11,178","14,435","18,040","25,153","24,482","30,677","32,311","32,516","39,506","42,109","46,546","53,057","57,330"
OPM %,30%,30%,29%,31%,26%,28%,27%,26%,27%,27%,28%,28%,26%
Other Income +,604,428,"1,178","1,637","3,720","3,084","4,221","3,642","4,311","4,592","1,916","4,018","3,255"
Interest,26,22,48,39,104,33,32,52,198,924,637,784,752
Depreciation,735,918,"1,080","1,349","1,799","1,888","1,987","2,014","2,056","3,529","4,065","4,604","4,953"
Profit before tax,"11,021","13,923","18,090","25,402","26,298","31,840","34,513","34,092","41,563","42,248","43,760","51,687","54,880"
Tax %,17%,24%,22%,24%,24%,24%,24%,24%,24%,23%,26%,26%,
Net Profit,"9,189","10,523","14,076","19,332","20,060","24,338","26,357","25,880","31,562","32,447","32,562","38,449","40,826"
EPS in Rs,23.17,26.60,35.55,48.92,50.68,61.58,66.71,67.46,83.87,86.19,87.67,104.75,111.18
