,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,169,277,366,470,529,659,794,522,429,425,481,548
Expenses +,143,222,288,368,404,496,602,554,452,371,419,458
Operating Profit,26,55,79,102,125,164,192,-32,-22,54,62,90
OPM %,15%,20%,21%,22%,24%,25%,24%,-6%,-5%,13%,13%,16%
Other Income +,1,4,1,2,3,3,12,-12,-1,20,12,35
Interest,6,8,9,28,30,35,24,27,35,32,27,22
Depreciation,4,8,12,23,26,26,19,24,41,42,42,44
Profit before tax,17,44,59,54,73,105,161,-95,-99,-0,5,59
Tax %,16%,27%,27%,36%,32%,41%,33%,30%,-13%,"-32,350%",-76%,
Net Profit,15,32,43,33,47,61,107,-67,-111,-6,8,67
EPS in Rs,"146,900.00","1,986.49","2,455.92","1,557.42","2,308.87",20.53,30.62,-19.13,-31.87,-1.86,2.29,20.35
