,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,199,264,318,382,376,190,76,63,65,60,35,28,20
Expenses +,167,225,269,305,283,186,111,108,103,97,53,40,35
Operating Profit,33,39,50,77,93,4,-35,-45,-37,-37,-18,-12,-15
OPM %,16%,15%,16%,20%,25%,2%,-46%,-71%,-57%,-61%,-50%,-44%,-74%
Other Income +,0,1,4,7,12,15,12,9,6,12,2,4,1
Interest,1,0,1,1,0,0,0,0,1,17,1,0,0
Depreciation,5,4,3,5,6,4,4,2,3,4,5,4,4
Profit before tax,27,35,50,77,99,14,-27,-39,-35,-45,-21,-12,-18
Tax %,18%,22%,24%,31%,32%,26%,37%,30%,18%,-64%,-0%,-31%,
Net Profit,22,27,38,54,67,11,-17,-26,-28,-74,-21,-16,-21
EPS in Rs,10.10,11.98,15.67,20.93,26.22,4.13,-6.35,-10.04,-10.56,-27.99,-7.80,-5.89,-8.11
