,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM
Sales +,291,410,465,596,648,605,588,593,700,809,881,"1,156","1,445"
Expenses +,267,380,430,518,558,533,518,560,643,736,764,995,"1,258"
Operating Profit,23,29,35,78,91,73,71,33,57,73,116,161,187
OPM %,8%,7%,7%,13%,14%,12%,12%,6%,8%,9%,13%,14%,13%
Other Income +,5,5,5,4,34,70,17,16,19,15,11,42,14
Interest,1,1,1,1,1,1,1,0,0,2,6,5,5
Depreciation,13,13,10,10,11,14,12,13,14,15,26,28,33
Profit before tax,15,21,29,72,112,128,76,35,63,72,96,170,163
Tax %,-15%,21%,36%,27%,30%,23%,29%,36%,19%,19%,15%,17%,
Net Profit,17,17,18,53,78,98,54,23,51,58,82,141,131
EPS in Rs,1.36,1.34,1.47,4.16,6.13,7.71,4.33,1.82,4.12,4.83,6.84,11.96,11.08
