,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,303","1,500","1,853","1,795","2,320","2,825","2,973","3,601","4,930","5,070","4,992","5,946","7,084"
Expenses +,"1,050","1,175","1,481","1,413","1,847","1,907","2,037","2,462","3,537","3,495","3,455","4,210","5,244"
Operating Profit,253,325,372,382,473,918,935,"1,140","1,393","1,575","1,536","1,736","1,840"
OPM %,19%,22%,20%,21%,20%,33%,31%,32%,28%,31%,31%,29%,26%
Other Income +,140,35,14,14,29,24,82,111,17,93,147,538,549
Interest,72,114,139,134,272,800,908,994,"1,021","1,043",970,"1,004","1,040"
Depreciation,69,85,132,139,152,269,264,291,258,300,276,338,371
Profit before tax,253,161,114,124,78,-126,-155,-35,131,326,438,932,978
Tax %,17%,28%,60%,56%,102%,-77%,-45%,-239%,131%,51%,38%,17%,
Net Profit,210,116,45,55,-1,-224,-225,-119,-40,160,273,771,814
EPS in Rs,8.78,5.26,3.55,4.11,3.42,-3.04,-7.31,-3.96,-1.19,5.89,9.84,27.73,29.09
