,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,016","3,642","4,069","4,548","5,333","5,177","5,353","5,906","6,582","6,482","3,446","6,179","7,698"
Expenses +,"2,649","3,189","3,696","4,118","4,905","4,790","5,048","5,481","6,013","5,966","3,507","5,474","6,595"
Operating Profit,367,454,373,430,427,387,305,426,569,516,-60,705,"1,103"
OPM %,12%,12%,9%,9%,8%,7%,6%,7%,9%,8%,-2%,11%,14%
Other Income +,-90,82,43,87,95,93,82,137,120,285,186,6,37
Interest,124,165,191,197,200,190,178,184,233,303,276,228,237
Depreciation,161,166,189,196,162,159,157,170,196,340,314,240,235
Profit before tax,-8,204,37,125,160,132,52,208,260,159,-465,243,668
Tax %,628%,30%,68%,24%,27%,35%,42%,32%,33%,-27%,35%,-9%,
Net Profit,55,157,27,110,120,86,30,142,175,202,-304,265,610
EPS in Rs,8.75,25.38,4.68,17.53,18.38,13.82,4.16,21.93,27.37,30.30,-44.62,39.11,90.62
