,Jun 2011,Jun 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,203","1,187","1,273","1,115","1,648","1,667","1,691","1,736","1,863","1,708","1,314","1,490","1,657"
Expenses +,"1,111","1,109","1,191","1,032","1,509","1,536","1,593","1,657","1,767","1,671","1,287","1,452","1,600"
Operating Profit,92,78,82,82,139,131,98,79,96,37,28,38,57
OPM %,8%,7%,6%,7%,8%,8%,6%,5%,5%,2%,2%,3%,3%
Other Income +,9,87,9,12,12,15,10,54,16,13,-195,24,11
Interest,52,62,44,32,42,42,52,49,47,55,45,27,28
Depreciation,25,37,25,22,33,38,30,30,30,44,40,35,45
Profit before tax,24,67,23,40,76,65,27,54,35,-48,-253,-0,-6
Tax %,41%,38%,26%,29%,25%,24%,35%,28%,35%,-74%,3%,-786%,
Net Profit,14,42,17,28,57,49,17,39,23,-84,-246,-4,-10
EPS in Rs,1.64,4.79,1.11,2.68,4.71,4.20,1.22,3.16,1.69,-6.42,-18.69,0.72,-0.69
