,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,658,900,925,"1,088","1,443","1,645","1,731","1,955","2,396","2,438","1,842","2,072","2,457"
Expenses +,608,817,842,"1,006","1,330","1,494","1,639","1,758","2,171","2,225","1,718","2,508","2,931"
Operating Profit,51,83,83,83,113,151,92,197,225,213,124,-436,-474
OPM %,8%,9%,9%,8%,8%,9%,5%,10%,9%,9%,7%,-21%,-19%
Other Income +,-0,0,3,1,-4,-2,-11,9,9,6,12,20,31
Interest,23,40,40,44,47,50,33,36,36,38,47,52,55
Depreciation,18,23,26,28,28,33,49,51,50,54,49,54,55
Profit before tax,10,21,19,12,34,67,-1,119,148,127,41,-522,-553
Tax %,104%,8%,-9%,-30%,6%,29%,524%,27%,18%,26%,49%,-2%,
Net Profit,-0,19,21,16,32,47,5,87,121,94,21,-532,-551
EPS in Rs,-0.26,11.95,13.01,10.00,20.17,6.72,0.57,10.35,14.35,11.14,2.46,-55.83,-57.93
