,Mar 2008,Mar 2009,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,010",891,"1,973","2,022","2,364","3,025","3,069","3,423","3,652","3,081","1,988","3,240","3,894"
Expenses +,"1,123","1,371","1,919","1,925","2,217","2,751","2,801","3,155","3,378","2,820","1,964","3,190","3,773"
Operating Profit,-113,-480,54,97,147,274,268,268,275,261,24,50,121
OPM %,-11%,-54%,3%,5%,6%,9%,9%,8%,8%,8%,1%,2%,3%
Other Income +,44,655,44,60,66,71,86,69,82,3,2,52,40
Interest,50,54,8,9,7,5,6,7,15,28,28,41,59
Depreciation,50,55,70,85,81,92,113,129,151,195,174,191,223
Profit before tax,-168,65,19,63,125,249,235,201,190,42,-176,-130,-121
Tax %,-6%,101%,25%,-24%,19%,28%,23%,27%,25%,-20%,30%,30%,
Net Profit,-179,-1,14,78,102,179,180,147,143,50,-124,-91,-83
EPS in Rs,-135.68,-0.56,10.94,59.08,77.06,135.77,136.68,111.66,108.78,38.08,-93.83,-69.12,-62.97
