,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,899,795,777,843,896,857,874,833,948,925,989,"1,303","1,422"
Expenses +,614,707,709,774,836,776,801,750,804,763,770,"1,065","1,173"
Operating Profit,285,88,69,69,60,81,73,83,144,162,219,238,249
OPM %,32%,11%,9%,8%,7%,9%,8%,10%,15%,17%,22%,18%,18%
Other Income +,-7,16,14,16,27,6,8,5,9,12,15,39,40
Interest,25,29,30,37,44,44,33,25,19,18,20,18,18
Depreciation,40,42,39,34,15,17,14,14,14,20,24,28,29
Profit before tax,214,33,13,14,27,27,34,50,120,135,190,231,242
Tax %,11%,3%,-113%,26%,35%,38%,33%,34%,32%,36%,34%,28%,
Net Profit,191,32,28,10,18,16,22,33,82,86,126,167,181
EPS in Rs,83.03,13.72,12.15,4.41,7.64,7.08,9.66,14.26,35.14,37.03,54.21,71.96,77.77
