,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,141,186,133,140,165,193,169,208,232
Expenses +,133,178,121,130,153,185,164,196,218
Operating Profit,8,8,12,10,11,8,5,12,14
OPM %,6%,4%,9%,7%,7%,4%,3%,6%,6%
Other Income +,1,-4,6,10,14,15,13,13,12
Interest,1,1,1,1,0,2,2,3,3
Depreciation,1,1,1,1,1,3,5,5,5
Profit before tax,7,2,16,18,24,19,11,18,18
Tax %,35%,52%,23%,18%,15%,17%,13%,16%,
Net Profit,4,1,12,15,21,15,10,15,15
EPS in Rs,17.00,3.73,46.58,58.50,79.06,58.91,36.80,56.95,58.18
