,Jun 2011,Jun 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,594,734,683,923,"1,013",527,560,817,"1,033","1,071","1,722","2,184","2,436"
Expenses +,613,710,626,833,965,509,515,718,902,916,"1,357","1,721","1,985"
Operating Profit,-18,24,57,90,47,18,45,100,132,156,364,463,451
OPM %,-3%,3%,8%,10%,5%,3%,8%,12%,13%,15%,21%,21%,19%
Other Income +,-7,12,9,11,14,15,12,21,25,17,28,36,82
Interest,1,1,0,1,1,0,4,6,6,4,8,8,18
Depreciation,29,29,22,33,37,16,15,19,17,25,45,43,60
Profit before tax,-56,5,44,68,22,16,39,96,133,144,339,448,455
Tax %,-1%,91%,22%,24%,20%,17%,17%,27%,24%,21%,26%,26%,
Net Profit,-56,0,34,52,18,14,32,70,101,114,252,333,326
EPS in Rs,-20.77,0.19,13.93,23.37,7.86,5.97,13.86,29.53,42.33,44.82,82.97,98.32,99.93
