,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,92,111,101,110,124,135,146,147,165,143,137,179,199
Expenses +,64,80,79,89,100,112,120,120,134,124,114,136,148
Operating Profit,28,31,22,21,24,23,26,27,30,19,23,42,51
OPM %,30%,28%,22%,19%,19%,17%,18%,18%,18%,13%,17%,24%,25%
Other Income +,2,2,2,2,2,2,2,3,2,5,4,4,4
Interest,0,0,0,0,0,1,1,1,0,1,1,1,0
Depreciation,4,4,5,5,8,9,10,10,10,9,9,9,8
Profit before tax,26,28,19,17,17,16,17,18,22,14,17,37,47
Tax %,34%,32%,31%,30%,20%,32%,27%,27%,30%,26%,25%,27%,
Net Profit,17,19,13,12,14,11,12,13,15,10,13,27,35
EPS in Rs,84.20,97.30,64.30,58.30,67.70,53.90,60.25,65.60,77.05,50.15,63.85,135.35,173.85
