,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,306,354,321,228,233,241,251,274,274,252,73,131,196
Expenses +,195,316,248,167,190,171,170,191,192,198,92,124,172
Operating Profit,111,37,73,61,43,70,81,84,81,54,-19,6,24
OPM %,36%,11%,23%,27%,18%,29%,32%,30%,30%,22%,-27%,5%,12%
Other Income +,1,42,-310,7,31,46,11,31,4,15,-568,-325,-5
Interest,45,89,86,74,96,118,99,99,114,127,91,110,122
Depreciation,21,34,31,11,27,23,21,20,19,18,17,25,29
Profit before tax,46,-43,-354,-17,-48,-24,-28,-4,-48,-76,-695,-454,-133
Tax %,24%,-116%,-4%,-90%,-6%,107%,42%,8%,19%,14%,-0%,0%,
Net Profit,34,-94,-361,-32,-51,2,-16,-4,-39,-65,-695,-454,-133
EPS in Rs,15.97,-13.93,30.71,-16.54,-26.07,0.82,-8.15,-1.91,-18.33,-30.37,-356.89,-218.66,-68.39
