,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,253,269,398,516,501,430,655,"1,017","1,242","1,348","1,410","2,216","2,485"
Expenses +,233,249,363,472,480,412,596,926,"1,180","1,239","1,288","1,998","2,287"
Operating Profit,20,20,36,44,20,18,59,92,62,109,121,217,198
OPM %,8%,7%,9%,9%,4%,4%,9%,9%,5%,8%,9%,10%,8%
Other Income +,3,3,3,-3,4,3,1,2,5,-12,1,6,60
Interest,2,3,9,10,11,9,11,20,26,31,31,38,42
Depreciation,1,2,2,6,6,7,6,9,12,18,20,21,22
Profit before tax,19,19,27,25,7,6,44,64,30,47,71,165,195
Tax %,25%,18%,14%,12%,-33%,8%,19%,26%,34%,22%,20%,10%,
Net Profit,15,16,24,22,10,5,35,48,19,37,57,148,177
EPS in Rs,2.17,2.21,2.79,3.13,0.97,0.64,4.78,6.42,2.25,4.81,7.60,20.19,24.31
