,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,147","4,903","5,016","5,821","6,117","6,281","6,715","7,800","8,536","5,891","5,631","7,078","7,348"
Expenses +,"3,400","4,087","4,289","5,051","5,338","5,460","5,770","6,846","7,610","5,942","5,283","6,372","6,668"
Operating Profit,748,815,727,770,779,820,945,954,926,-51,348,706,679
OPM %,18%,17%,14%,13%,13%,13%,14%,12%,11%,-1%,6%,10%,9%
Other Income +,111,34,-59,-184,-35,34,59,163,275,75,116,611,351
Interest,327,477,486,468,469,491,459,479,514,692,746,558,509
Depreciation,122,144,170,205,244,297,301,339,313,347,351,337,333
Profit before tax,409,229,13,-86,31,67,243,299,374,"-1,014",-633,422,189
Tax %,30%,0%,64%,54%,-78%,27%,27%,26%,32%,29%,36%,22%,
Net Profit,288,229,4,-40,55,49,176,221,254,-719,-403,329,112
EPS in Rs,6.93,5.52,0.07,-0.90,1.25,1.06,3.68,4.42,4.82,-14.41,-7.97,5.48,1.58
