,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,308","1,473","1,806","1,800","1,759","1,772","1,715"
Expenses +,"1,154","1,262","1,376","1,336","1,321","1,361","1,299"
Operating Profit,154,211,429,465,437,411,416
OPM %,12%,14%,24%,26%,25%,23%,24%
Other Income +,15,9,13,30,38,24,31
Interest,78,83,137,130,133,250,202
Depreciation,100,113,227,245,260,252,248
Profit before tax,-10,24,79,120,82,-67,-3
Tax %,-109%,73%,16%,31%,34%,-24%,
Net Profit,-22,6,66,83,55,-82,-18
EPS in Rs,-1.79,0.52,5.50,6.89,4.55,-6.79,-1.48
