,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"6,105","6,518","6,968","7,272","9,513","9,527","9,001","8,391","12,896","8,901","7,949","11,138","13,187"
Expenses +,"5,394","5,621","6,146","6,514","8,513","8,540","8,326","7,518","11,303","7,824","7,030","10,110","12,024"
Operating Profit,711,898,823,758,"1,000",987,675,873,"1,592","1,077",919,"1,028","1,164"
OPM %,12%,14%,12%,10%,11%,10%,8%,10%,12%,12%,12%,9%,9%
Other Income +,21,102,91,105,127,71,87,-23,17,63,105,272,270
Interest,271,645,595,654,737,643,513,460,522,554,480,478,482
Depreciation,136,264,228,235,277,248,203,172,193,199,181,187,191
Profit before tax,325,90,90,-27,113,167,46,219,894,387,363,635,759
Tax %,32%,24%,42%,138%,45%,51%,82%,37%,37%,19%,22%,22%,
Net Profit,223,56,45,-9,48,82,8,139,568,314,283,494,593
EPS in Rs,4.00,0.99,1.01,0.06,0.97,2.17,0.57,2.81,9.63,5.52,4.40,7.91,9.40
