,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,156,191,200,221,234,253,285,355,528,479,541,786,925
Expenses +,150,179,185,202,212,222,249,314,473,437,479,734,861
Operating Profit,7,12,15,18,22,30,36,41,55,42,61,52,64
OPM %,4%,7%,7%,8%,10%,12%,13%,12%,10%,9%,11%,7%,7%
Other Income +,2,2,2,1,1,1,3,4,7,7,8,10,6
Interest,2,4,4,4,5,4,4,8,10,11,9,14,15
Depreciation,2,3,3,6,10,12,12,12,15,20,11,14,16
Profit before tax,4,7,10,9,8,15,23,25,38,18,49,35,39
Tax %,35%,42%,32%,36%,35%,38%,29%,36%,34%,30%,23%,33%,
Net Profit,3,4,7,6,5,9,16,16,25,13,37,23,25
EPS in Rs,0.80,1.03,1.25,0.93,0.80,1.38,2.46,2.40,3.78,1.92,5.31,3.23,3.58
