,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,424,312,558,483,484,431,466,480,350,276,250,462,724
Expenses +,188,148,398,342,233,295,325,370,274,224,214,386,606
Operating Profit,236,164,160,141,251,137,141,110,75,52,35,76,118
OPM %,56%,53%,29%,29%,52%,32%,30%,23%,22%,19%,14%,16%,16%
Other Income +,28,20,18,18,8,24,29,49,15,10,20,39,45
Interest,21,21,16,19,55,46,54,55,28,15,31,27,29
Depreciation,13,11,14,15,28,27,27,26,22,18,17,17,16
Profit before tax,230,153,149,125,175,87,88,79,40,29,8,72,117
Tax %,27%,26%,28%,17%,19%,27%,24%,23%,27%,42%,97%,32%,
Net Profit,168,113,108,100,142,70,76,66,40,24,9,53,91
EPS in Rs,5.70,3.85,3.59,3.40,4.82,2.35,2.61,2.29,1.45,0.91,0.36,1.86,3.04
