,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,600,814,"1,246","1,310","1,672","1,584","1,407","1,415","2,050","2,128",963,955,971
Expenses +,317,425,669,835,"1,287","1,244",998,"1,110","1,612","1,681",681,746,773
Operating Profit,282,389,577,476,386,340,409,305,439,447,282,208,198
OPM %,47%,48%,46%,36%,23%,21%,29%,22%,21%,21%,29%,22%,20%
Other Income +,10,16,26,18,18,47,68,90,76,59,93,427,146
Interest,141,201,240,241,233,243,290,251,328,343,357,332,327
Depreciation,4,5,7,8,15,16,16,15,15,23,20,18,16
Profit before tax,147,198,356,244,156,128,171,129,172,140,-2,286,-0
Tax %,19%,32%,32%,35%,15%,34%,25%,29%,33%,37%,-82%,48%,
Net Profit,118,136,243,160,133,83,129,91,114,88,-4,148,-2
EPS in Rs,5.52,6.36,11.41,6.75,5.60,3.49,5.44,3.85,4.82,3.73,-0.17,6.22,-0.07
