,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,770,"1,058","1,027",620,645,601,711,738,820,699,542,836,955
Expenses +,755,"1,052",994,631,644,608,707,737,817,688,533,814,934
Operating Profit,15,6,34,-11,1,-7,3,1,3,11,9,22,21
OPM %,2%,1%,3%,-2%,0%,-1%,0%,0%,0%,2%,2%,3%,2%
Other Income +,22,38,7,41,18,18,15,15,15,11,8,-0,9
Interest,5,12,11,7,6,6,7,9,9,9,5,6,7
Depreciation,2,4,4,6,5,5,4,5,6,10,10,11,10
Profit before tax,31,29,26,17,8,-1,8,2,3,3,1,5,13
Tax %,16%,29%,31%,1%,13%,300%,3%,30%,95%,89%,322%,112%,
Net Profit,26,21,18,17,7,1,7,1,0,0,-3,-1,9
EPS in Rs,6.65,5.19,4.52,4.27,1.67,0.27,1.89,0.29,0.03,0.09,-0.81,-0.15,2.22
