,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2015,Mar 2016
Sales +,314,396,453,361,328,301,96,6
Expenses +,321,356,406,367,346,294,102,18
Operating Profit,-7,40,46,-6,-19,7,-6,-13
OPM %,-2%,10%,10%,-2%,-6%,2%,-6%,-228%
Other Income +,40,5,2,2,5,15,7,4
Interest,28,21,25,36,31,34,43,39
Depreciation,8,8,9,9,8,7,4,4
Profit before tax,-4,15,14,-49,-53,-19,-46,-51
Tax %,-93%,50%,49%,-4%,20%,21%,0%,0%
Net Profit,-7,8,8,-51,-41,-13,-45,-49
EPS in Rs,,0.86,0.95,-5.61,-4.36,-1.18,-3.42,-3.62
