,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,172,208,80,78,165,316,277,370,382,344,347,483,487
Expenses +,128,168,59,56,119,233,170,231,254,240,251,366,356
Operating Profit,43,40,21,23,45,83,107,138,127,105,95,116,131
OPM %,25%,19%,27%,29%,27%,26%,39%,37%,33%,30%,28%,24%,27%
Other Income +,0,8,9,10,7,9,14,17,19,6,5,6,9
Interest,16,2,4,4,17,31,36,46,50,66,58,59,44
Depreciation,0,3,6,6,2,2,2,3,2,2,2,2,2
Profit before tax,27,44,20,23,33,59,83,106,94,43,41,62,94
Tax %,9%,5%,18%,25%,20%,22%,21%,21%,19%,23%,23%,25%,
Net Profit,25,42,16,17,26,46,66,84,76,33,31,46,70
EPS in Rs,6.61,10.91,4.37,4.57,7.24,11.95,18.37,23.19,21.20,9.22,8.51,12.79,19.58
