,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,56,110,286,637,"1,039","1,351","1,491","1,211",635,518,500
Expenses +,29,59,158,331,643,794,"1,072","1,055",661,566,512
Operating Profit,27,51,128,306,396,557,419,156,-26,-48,-12
OPM %,49%,46%,45%,48%,38%,41%,28%,13%,-4%,-9%,-2%
Other Income +,2,6,18,23,217,49,29,63,-73,"-1,189",-18
Interest,1,2,6,30,59,110,144,250,254,368,374
Depreciation,6,10,33,81,114,84,107,122,108,95,78
Profit before tax,22,46,106,217,440,412,196,-153,-462,"-1,700",-482
Tax %,37%,37%,33%,35%,36%,16%,29%,7%,16%,0%,3%
Net Profit,14,29,71,140,282,342,137,-143,-386,"-1,700",-470
EPS in Rs,1.74,3.59,8.19,15.36,29.03,35.24,14.11,-10.85,-29.46,-134.09,-36.52
