,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,168,199,119,282,250,321,401,499,258,267,168,383,592
Expenses +,68,99,31,151,119,117,195,304,188,320,216,248,390
Operating Profit,100,100,88,131,132,204,207,195,71,-53,-48,134,203
OPM %,60%,50%,74%,46%,53%,64%,51%,39%,27%,-20%,-29%,35%,34%
Other Income +,1,9,17,5,7,2,6,8,6,2,10,1,1
Interest,25,47,64,65,64,100,93,101,92,80,75,36,18
Depreciation,1,3,3,3,4,4,4,3,2,2,2,2,3
Profit before tax,75,59,38,69,72,102,116,100,-17,-132,-114,97,183
Tax %,20%,23%,12%,27%,27%,31%,36%,49%,256%,10%,8%,27%,
Net Profit,60,45,34,50,53,70,75,51,27,-120,-105,71,88
EPS in Rs,12.20,9.26,7.01,10.19,11.27,12.56,14.16,10.32,5.39,-24.30,-21.38,8.47,9.44
