,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,721,705,789,764,760,782,805,812,824,835,893,917,881
Expenses +,691,650,724,694,699,725,744,746,759,777,830,862,837
Operating Profit,30,55,65,70,61,57,61,66,65,59,62,54,44
OPM %,4%,8%,8%,9%,8%,7%,8%,8%,8%,7%,7%,6%,5%
Other Income +,22,2,2,-0,0,0,5,1,4,3,1,4,2
Interest,0,0,0,2,1,6,5,0,0,2,2,2,3
Depreciation,5,6,7,11,15,16,17,18,17,19,19,21,21
Profit before tax,47,51,61,57,45,35,45,49,51,41,43,35,22
Tax %,33%,29%,31%,25%,18%,35%,38%,35%,33%,17%,27%,26%,
Net Profit,32,36,42,43,37,23,28,32,34,34,31,26,16
EPS in Rs,13.06,14.89,17.19,17.49,15.15,9.52,11.35,12.95,14.05,13.89,12.83,10.61,6.69
