,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Sales +,806,"1,007","1,272","1,670","2,169","2,302","3,165","4,126","1,687",983,386,232
Expenses +,718,871,"1,096","1,447","1,873","1,979","2,726","3,422","1,978","3,234","1,086",278
Operating Profit,88,137,176,224,296,322,440,704,-291,"-2,251",-699,-47
OPM %,11%,14%,14%,13%,14%,14%,14%,17%,-17%,-229%,-181%,-20%
Other Income +,15,6,1,19,13,18,4,31,27,219,-44,15
Interest,41,52,64,109,158,257,310,594,617,741,788,2
Depreciation,7,14,17,23,31,45,59,61,55,48,38,28
Profit before tax,55,77,97,111,119,38,75,80,-937,"-2,821","-1,570",-62
Tax %,19%,26%,26%,27%,31%,60%,41%,55%,11%,0%,0%,0%
Net Profit,45,57,71,81,83,15,44,26,-839,"-2,823","-1,616",-64
EPS in Rs,5.36,6.78,7.18,8.16,8.18,1.52,4.36,2.62,-35.18,-118.31,-67.75,-2.66
