,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,293,308,313,389,477,582,652,721,742,857,783,930,930
Expenses +,267,282,278,280,345,420,489,513,542,641,584,686,722
Operating Profit,26,26,35,109,132,162,163,208,200,216,199,244,208
OPM %,9%,9%,11%,28%,28%,28%,25%,29%,27%,25%,25%,26%,22%
Other Income +,9,6,7,12,23,-10,29,11,36,43,37,44,42
Interest,1,1,3,4,1,6,8,4,1,3,2,3,3
Depreciation,16,14,21,24,30,31,29,31,32,38,40,42,43
Profit before tax,18,16,18,93,123,115,155,183,204,218,194,243,204
Tax %,33%,36%,31%,34%,34%,46%,35%,35%,36%,36%,32%,25%,
Net Profit,12,11,12,61,81,62,100,119,131,139,132,182,152
EPS in Rs,2.15,1.77,2.05,10.31,13.58,10.62,17.14,19.94,21.97,23.36,22.04,30.42,25.46
