,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,385,453,591,700,751,927,"1,042","1,155","1,140",863,"1,737","2,255","2,522"
Expenses +,345,416,528,645,687,841,912,"1,010",994,767,"1,607","2,027","2,259"
Operating Profit,40,37,63,55,65,87,130,145,145,96,129,228,263
OPM %,10%,8%,11%,8%,9%,9%,12%,13%,13%,11%,7%,10%,10%
Other Income +,7,3,5,5,5,19,4,16,21,24,21,29,31
Interest,4,9,8,8,9,12,8,2,0,1,1,1,2
Depreciation,15,18,22,24,31,44,50,44,41,40,44,41,41
Profit before tax,28,12,38,28,29,50,76,116,125,78,105,215,252
Tax %,26%,40%,33%,22%,9%,-1%,27%,33%,31%,26%,25%,25%,
Net Profit,22,8,27,24,28,33,61,88,95,52,67,149,183
EPS in Rs,7.27,2.69,8.93,8.17,9.60,11.89,20.51,29.62,31.87,17.64,22.44,50.19,61.53
