,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,252,259,309,354,393,350,283,314,369,387
Expenses +,229,254,291,323,357,337,278,285,339,350
Operating Profit,23,5,17,31,36,13,6,29,30,37
OPM %,9%,2%,6%,9%,9%,4%,2%,9%,8%,10%
Other Income +,6,5,6,11,15,20,-12,1,3,2
Interest,2,3,3,9,13,13,11,11,11,11
Depreciation,3,6,5,14,16,14,14,14,14,14
Profit before tax,24,1,15,19,22,5,-32,6,7,15
Tax %,29%,326%,78%,48%,45%,157%,77%,-86%,69%,
Net Profit,17,-2,3,10,12,-3,-8,11,2,9
EPS in Rs,2.61,-0.33,0.50,1.53,1.86,-0.47,-1.13,1.67,0.35,1.41
