,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales +,803,852,939,"1,051","1,019",951,925,637,808,560,507,928
Expenses +,689,871,837,947,950,889,863,698,807,560,493,868
Operating Profit,114,-19,102,104,69,62,61,-61,2,-0,15,59
OPM %,14%,-2%,11%,10%,7%,6%,7%,-10%,0%,-0%,3%,6%
Other Income +,5,22,13,24,-10,52,12,3,2,177,3,3
Interest,57,86,76,88,91,90,77,84,60,60,59,64
Depreciation,39,45,52,48,42,38,30,30,18,16,15,14
Profit before tax,23,-127,-13,-8,-74,-15,-33,-172,-74,102,-57,-16
Tax %,40%,18%,48%,18%,40%,-0%,-0%,-0%,-0%,0%,-0%,-0%
Net Profit,14,-100,-7,-6,-45,-15,-33,-172,-74,102,-57,-16
EPS in Rs,10.00,-59.36,-2.78,-3.27,-20.15,-6.73,-15.01,-77.01,-33.20,45.68,-25.44,-6.96
