,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,409,415,387,327,355,362,387,437,490
Expenses +,390,398,370,311,337,347,362,409,457
Operating Profit,19,17,18,15,19,15,26,29,33
OPM %,5%,4%,5%,5%,5%,4%,7%,7%,7%
Other Income +,5,4,4,5,6,6,7,5,5
Interest,1,0,0,0,0,0,0,0,0
Depreciation,1,1,1,1,1,1,1,1,1
Profit before tax,22,20,21,19,24,19,31,33,37
Tax %,32%,34%,34%,34%,32%,27%,26%,26%,
Net Profit,15,13,14,13,16,14,23,25,28
EPS in Rs,5.18,4.49,4.59,4.28,5.43,4.70,10.00,10.61,12.25
