,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,226.77,322.61,479.47,482.24,18.53,13.85,22.50,9.91,0.00
Expenses +,200.11,284.16,440.74,450.71,19.40,14.13,17.91,11.87,0.99
Operating Profit,26.66,38.45,38.73,31.53,-0.87,-0.28,4.59,-1.96,-0.99
OPM %,11.76%,11.92%,8.08%,6.54%,-4.70%,-2.02%,20.40%,-19.78%,
Other Income +,0.18,0.43,0.44,2.24,-110.88,-2.32,4.49,5.70,3.16
Interest,2.70,6.08,12.17,8.75,0.34,0.37,0.34,0.30,0.29
Depreciation,0.36,0.66,2.48,3.45,0.55,0.42,0.35,0.27,0.23
Profit before tax,23.78,32.14,24.52,21.57,-112.64,-3.39,8.39,3.17,1.65
Tax %,26.83%,24.95%,26.84%,23.23%,0.05%,0.00%,0.00%,2.52%,0.00%
Net Profit,17.40,24.12,17.94,16.56,-117.67,-6.07,8.44,3.08,1.64
EPS in Rs,9.66,11.36,8.40,7.84,-56.03,-2.89,4.02,1.47,0.78
