,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,3,9,46,12,42,15,16,22,-0,15,29,11,8
Expenses +,5,12,28,3,32,21,22,32,10,31,40,20,17
Operating Profit,-2,-3,18,9,10,-5,-7,-10,-10,-16,-11,-9,-9
OPM %,-86%,-32%,39%,75%,24%,-36%,-44%,-44%,,-109%,-37%,-81%,-110%
Other Income +,7,-43,-25,8,8,12,19,19,22,26,22,13,25
Interest,0,0,-0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,5,-46,-7,16,18,6,12,9,12,10,11,3,16
Tax %,15%,-1%,-0%,21%,12%,43%,33%,-32%,21%,27%,51%,16%,
Net Profit,23,-18,-6,26,16,17,31,27,26,32,23,19,28
EPS in Rs,1.70,-1.38,-0.48,1.96,1.19,1.24,2.32,2.03,1.97,2.41,1.73,1.42,2.07
