,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,275,316,384,416,482,448,462,599,825,702,749,"1,178","1,356"
Expenses +,242,297,344,376,409,385,419,474,574,571,628,946,"1,099"
Operating Profit,33,18,40,40,72,63,44,125,250,131,122,232,257
OPM %,12%,6%,10%,10%,15%,14%,9%,21%,30%,19%,16%,20%,19%
Other Income +,3,20,4,5,7,3,9,4,5,10,9,15,18
Interest,7,9,12,12,14,13,11,7,3,4,3,3,2
Depreciation,10,10,10,11,15,15,14,15,18,23,27,31,32
Profit before tax,20,19,22,21,51,38,27,107,234,115,101,213,241
Tax %,30%,20%,32%,15%,19%,31%,26%,31%,34%,16%,29%,24%,
Net Profit,14,15,15,18,41,26,20,74,153,96,71,161,182
EPS in Rs,12.82,14.09,13.69,16.50,34.59,20.18,15.93,58.78,122.07,76.42,56.55,128.23,144.56
