,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,509","1,915","2,362","3,032","3,562","4,673","5,236","5,463","7,022","7,764","7,968","10,525","12,169"
Expenses +,"1,331","1,622","1,909","2,422","2,853","3,852","4,532","4,722","5,957","6,683","6,311","8,330","9,614"
Operating Profit,178,293,452,610,709,821,704,740,"1,064","1,082","1,657","2,196","2,555"
OPM %,12%,15%,19%,20%,20%,18%,13%,14%,15%,14%,21%,21%,21%
Other Income +,24,38,35,50,84,84,55,190,89,76,152,307,249
Interest,0,0,1,0,0,16,19,17,3,53,50,50,50
Depreciation,71,70,62,81,102,166,186,172,164,275,260,242,248
Profit before tax,130,262,424,578,691,723,555,742,987,829,"1,498","2,211","2,506"
Tax %,22%,16%,20%,22%,22%,24%,25%,23%,24%,24%,26%,25%,
Net Profit,102,218,339,451,536,552,419,570,754,631,"1,110","1,653","1,891"
EPS in Rs,6.33,13.49,20.34,27.03,32.04,32.93,24.92,34.78,45.93,38.33,67.43,100.30,114.73
