,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"21,550","25,245","27,909","28,331","31,734","34,487","36,068","55,894","77,200","68,252","69,970","89,073","108,741"
Expenses +,"16,555","19,666","21,986","23,416","26,590","28,576","28,682","44,281","60,560","57,880","57,769","75,270","87,954"
Operating Profit,"4,995","5,579","5,924","4,915","5,144","5,911","7,387","11,612","16,640","10,373","12,201","13,803","20,786"
OPM %,23%,22%,21%,17%,16%,17%,20%,21%,22%,15%,17%,16%,19%
Other Income +,399,742,824,576,530,"1,320","1,076",410,"-1,846","7,076","7,565","8,277","1,288"
Interest,407,314,324,447,667,718,702,"3,663","6,060","6,890","5,723","4,776","4,954"
Depreciation,"1,138","1,154","1,252","1,457","1,563","1,834","1,808","2,724","3,571","4,004","4,033","4,161","4,358"
Profit before tax,"3,849","4,852","5,171","3,586","3,443","4,679","5,952","5,635","5,163","6,554","10,009","13,143","12,762"
Tax %,25%,27%,28%,20%,30%,26%,29%,35%,47%,-1%,30%,15%,
Net Profit,"2,939","3,595","3,778","2,954","2,582","3,455","4,246","3,688","2,745","6,639","6,987","11,206","10,994"
EPS in Rs,49.71,57.74,58.92,45.13,37.95,52.91,67.85,40.75,25.75,67.07,65.42,114.69,113.42
