,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,Jun 2022,TTM
Sales +,221,219,304,317,303,341,367,383,433,412,290,368,398
Expenses +,178,158,173,180,188,208,222,233,263,259,205,234,239
Operating Profit,43,60,130,137,115,133,145,150,170,153,86,134,159
OPM %,19%,28%,43%,43%,38%,39%,39%,39%,39%,37%,29%,36%,40%
Other Income +,-1,9,5,5,6,9,20,3,9,5,11,8,8
Interest,1,1,1,0,0,1,0,0,0,6,4,3,3
Depreciation,17,8,12,12,13,13,14,14,17,32,34,35,36
Profit before tax,24,60,123,129,107,128,150,138,162,120,58,103,128
Tax %,12%,32%,31%,35%,37%,35%,35%,36%,34%,28%,27%,26%,
Net Profit,21,41,84,84,67,83,97,89,106,87,42,76,95
EPS in Rs,13.19,27.33,56.53,56.23,45.16,55.62,65.15,59.75,71.27,58.16,28.27,51.04,63.70
