,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,90.46,101.19,97.48,103.34,106.66,115.53,132.66,134.89,52.74,0.00,0.00,0.00,0.00
Expenses +,61.41,68.67,66.84,74.84,81.22,86.58,109.26,106.97,69.37,-15.09,10.11,1.35,1.40
Operating Profit,29.05,32.52,30.64,28.50,25.44,28.95,23.40,27.92,-16.63,15.09,-10.11,-1.35,-1.40
OPM %,32.11%,32.14%,31.43%,27.58%,23.85%,25.06%,17.64%,20.70%,-31.53%,,,,
Other Income +,1.51,2.63,11.33,0.87,0.90,0.52,1.13,1.43,-20.31,-34.70,0.08,0.84,0.83
Interest,26.89,42.66,47.22,45.73,40.95,18.39,28.69,24.27,153.70,4.15,4.15,4.15,4.16
Depreciation,8.79,9.12,9.18,9.40,5.19,6.05,6.63,6.74,3.16,0.11,0.11,0.11,0.11
Profit before tax,-5.12,-16.63,-14.43,-25.76,-19.80,5.03,-10.79,-1.66,-193.80,-23.87,-14.29,-4.77,-4.84
Tax %,37.30%,36.68%,46.85%,29.11%,0.00%,0.00%,5.65%,0.00%,0.00%,0.00%,0.00%,28.51%,
Net Profit,-3.21,-10.53,-7.68,-18.26,-19.80,5.03,-10.18,-1.66,-193.80,-23.86,-14.29,-3.41,-3.47
EPS in Rs,-3.62,-11.82,-8.60,-20.54,-15.53,3.95,-7.99,-1.30,-152.02,-18.72,-11.21,-2.67,-2.73
