,Oct 2011,Oct 2012,Oct 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,098","5,357","5,796","2,594","5,795","6,081","6,076","6,546","7,731","8,844","9,722","11,961","13,715"
Expenses +,"4,114","4,308","4,764","2,154","4,925","5,218","5,108","5,483","6,407","7,193","7,919","9,844","11,302"
Operating Profit,984,"1,049","1,033",440,870,863,969,"1,062","1,324","1,650","1,803","2,118","2,412"
OPM %,19%,20%,18%,17%,15%,14%,16%,16%,17%,19%,19%,18%,18%
Other Income +,181,168,140,44,194,172,223,149,177,178,133,160,158
Interest,5,15,33,11,28,24,14,13,17,81,63,74,94
Depreciation,155,174,145,50,98,121,79,71,76,232,242,291,322
Profit before tax,"1,005","1,028",995,422,938,890,"1,099","1,128","1,407","1,515","1,631","1,913","2,155"
Tax %,18%,23%,25%,28%,28%,29%,28%,26%,24%,22%,25%,25%,
Net Profit,822,792,744,303,675,632,792,838,"1,073","1,185","1,217","1,431","1,625"
EPS in Rs,39.12,37.71,35.40,14.40,32.10,30.05,37.62,43.34,57.64,63.52,65.06,76.19,86.38
