,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,318","4,396","4,821","5,027","5,654","5,223","5,012","5,508","6,194","5,956","5,587","6,306","6,965"
Expenses +,"2,939","4,079","4,509","4,840","5,293","4,873","4,651","5,057","5,586","5,409","4,958","5,775","6,558"
Operating Profit,379,317,312,186,362,350,361,451,609,547,629,531,407
OPM %,11%,7%,6%,4%,6%,7%,7%,8%,10%,9%,11%,8%,6%
Other Income +,12,8,17,165,92,144,93,67,18,23,37,56,50
Interest,118,191,234,280,296,286,221,232,226,258,217,193,175
Depreciation,126,162,180,200,165,184,192,184,200,251,293,310,353
Profit before tax,147,-28,-85,-129,-7,24,42,101,201,62,157,84,-72
Tax %,29%,40%,29%,34%,167%,-6%,66%,45%,46%,119%,10%,48%,
Net Profit,104,-17,-61,-85,5,25,14,55,110,-12,140,44,-80
EPS in Rs,2.09,-0.37,-1.24,-1.71,0.05,0.06,-0.04,0.84,2.31,0.20,3.40,1.82,-0.35
