,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,201,194,217,190,214,172,180,257,235
Expenses +,156,159,169,147,171,134,144,221,203
Operating Profit,45,35,48,42,43,39,36,36,32
OPM %,22%,18%,22%,22%,20%,22%,20%,14%,14%
Other Income +,2,2,3,3,9,5,8,2,2
Interest,16,13,12,12,14,10,12,6,7
Depreciation,14,13,14,13,17,17,18,10,9
Profit before tax,18,11,25,20,21,17,14,22,19
Tax %,24%,9%,30%,12%,28%,28%,1%,-2%,
Net Profit,13,10,17,15,15,10,13,22,15
EPS in Rs,19.59,14.28,22.50,19.16,22.58,16.13,23.32,32.25,21.61
