,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,308,347,427,512,621,661,673,779,900
Expenses +,251,307,357,415,493,556,480,584,717
Operating Profit,58,39,70,98,128,105,192,195,183
OPM %,19%,11%,16%,19%,21%,16%,29%,25%,20%
Other Income +,8,3,8,8,20,21,15,30,31
Interest,2,4,5,5,9,11,6,3,5
Depreciation,4,4,5,6,6,20,20,18,23
Profit before tax,59,34,68,94,134,95,181,203,187
Tax %,21%,19%,25%,23%,23%,23%,30%,19%,
Net Profit,46,28,51,73,102,73,126,164,155
EPS in Rs,8.59,5.15,7.98,10.53,14.69,10.40,18.07,23.47,22.16
