,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,116,198,224,270,425,753,814,"1,038","1,218","1,175","1,371","1,597","2,110"
Expenses +,101,147,160,205,340,630,703,887,"1,068",990,971,"1,321","1,934"
Operating Profit,15,51,64,65,85,123,110,151,150,186,400,276,175
OPM %,13%,26%,29%,24%,20%,16%,14%,15%,12%,16%,29%,17%,8%
Other Income +,0,0,-0,1,6,4,4,7,2,4,8,13,46
Interest,4,3,4,16,30,42,62,59,63,61,47,92,197
Depreciation,6,6,6,21,29,35,48,54,66,79,81,93,146
Profit before tax,5,42,54,29,32,51,4,46,23,50,281,104,-121
Tax %,12%,26%,38%,32%,37%,13%,193%,42%,41%,47%,34%,43%,
Net Profit,5,31,33,19,20,44,-4,26,14,27,186,59,-109
EPS in Rs,0.73,4.73,4.94,2.54,2.58,5.09,-0.38,2.57,1.33,2.40,15.88,5.89,-6.44
