,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,605","3,148","3,769","4,357","5,129","6,150","7,256","8,243","9,617","11,247","10,560","14,663","15,232"
Expenses +,"2,183","2,631","3,157","3,681","4,392","5,465","6,522","7,442","8,548","9,656","9,420","12,474","13,151"
Operating Profit,422,517,612,676,737,684,734,801,"1,070","1,591","1,140","2,189","2,081"
OPM %,16%,16%,16%,16%,14%,11%,10%,10%,11%,14%,11%,15%,14%
Other Income +,12,22,33,18,47,92,60,24,26,222,103,368,95
Interest,78,89,103,119,118,180,257,295,327,533,449,379,374
Depreciation,95,124,142,168,212,264,314,359,396,620,573,601,618
Profit before tax,261,326,399,407,455,332,222,171,373,660,221,"1,578","1,184"
Tax %,33%,35%,26%,25%,29%,29%,41%,65%,47%,34%,38%,30%,
Net Profit,182,218,303,315,335,235,131,60,200,432,137,"1,108",877
EPS in Rs,14.75,16.31,21.88,22.77,24.43,16.99,15.88,8.44,16.96,32.70,10.46,73.42,58.39
