,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,19,19,19,19,19,19,19
Reserves,-0,"1,169","1,254","1,457","1,715","2,293","3,052","3,426"
Borrowings +,0,851,776,611,414,"1,972",871,912
Other Liabilities +,0,"1,097","1,263","1,263",932,"4,349","4,939","5,377"
Total Liabilities,0,"3,135","3,312","3,349","3,080","8,634","8,881","9,734"
Fixed Assets +,0,"1,306","1,358","1,429","1,515","3,426","3,324","3,408"
CWIP,0,34,90,69,58,152,128,127
Investments,0,202,134,132,186,369,542,351
Other Assets +,0,"1,593","1,730","1,719","1,321","4,687","4,887","5,848"
Total Assets,0,"3,135","3,312","3,349","3,080","8,634","8,881","9,734"
