,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,54,128,151,207,288,337,441,839,"1,159",633,676,"1,294","1,661"
Expenses +,72,138,173,228,291,315,375,683,983,484,534,"1,149","1,501"
Operating Profit,-18,-10,-22,-20,-2,22,67,156,176,149,142,145,160
OPM %,-33%,-8%,-15%,-10%,-1%,7%,15%,19%,15%,23%,21%,11%,10%
Other Income +,0,1,1,2,7,5,16,31,66,73,19,18,45
Interest,0,1,1,1,1,1,4,6,6,4,4,2,2
Depreciation,1,1,3,7,13,18,22,66,82,87,75,63,59
Profit before tax,-18,-11,-25,-27,-10,9,56,115,153,130,82,98,145
Tax %,0%,0%,0%,-0%,0%,-1%,23%,23%,18%,17%,14%,15%,
Net Profit,-18,-11,-25,-26,-11,9,44,88,126,108,70,84,115
EPS in Rs,-0.16,-0.09,-0.16,-0.16,-0.06,0.04,0.20,0.41,0.48,0.41,0.27,0.32,0.44
