,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"7,383","6,817","7,543","9,509","11,499","8,472","8,956","14,181","15,387"
Expenses +,"5,510","5,858","6,464","8,113","8,607","7,985","7,174","9,665","11,441"
Operating Profit,"1,873",959,"1,079","1,397","2,893",487,"1,782","4,516","3,946"
OPM %,25%,14%,14%,15%,25%,6%,20%,32%,26%
Other Income +,821,659,368,"1,124",327,273,147,298,355
Interest,167,3,3,2,2,6,7,23,28
Depreciation,414,426,480,480,476,530,606,837,839
Profit before tax,"2,113","1,189",964,"2,039","2,741",224,"1,316","3,954","3,435"
Tax %,37%,34%,31%,34%,37%,39%,1%,25%,
Net Profit,"1,322",787,668,"1,342","1,734",136,"1,299","2,951","2,539"
EPS in Rs,5.13,3.05,3.45,6.94,9.29,0.73,7.07,16.07,13.82
