,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,450,505,635,789,804,786,478,850,"1,111"
Expenses +,420,467,551,629,693,700,437,742,962
Operating Profit,30,38,84,160,111,86,41,108,149
OPM %,7%,7%,13%,20%,14%,11%,9%,13%,13%
Other Income +,0,0,3,4,43,-15,19,15,16
Interest,2,1,7,13,13,4,2,2,1
Depreciation,5,6,26,40,19,12,9,7,11
Profit before tax,24,31,53,111,122,55,48,114,153
Tax %,1%,1%,6%,13%,14%,4%,-4%,2%,
Net Profit,24,31,50,97,105,52,50,111,145
EPS in Rs,0.58,0.75,1.22,2.36,2.57,1.28,1.22,2.72,3.52
