,Jun 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales +,0,60,135,136,136,140,274,319,364,385,432,431,177
Expenses +,1,41,88,95,105,116,220,239,256,262,282,278,148
Operating Profit,-1,19,47,41,31,24,55,80,108,123,150,153,29
OPM %,,32%,35%,30%,23%,17%,20%,25%,30%,32%,35%,35%,16%
Other Income +,0,0,-1,4,1,-7,2,4,18,15,25,16,17
Interest,0,0,12,22,21,25,95,96,102,91,90,107,100
Depreciation,0,4,10,12,12,11,49,52,55,56,47,52,52
Profit before tax,-1,15,23,11,-1,-20,-88,-64,-31,-10,38,9,-106
Tax %,0%,34%,27%,56%,-511%,-14%,1%,4%,-2%,-18%,-94%,89%,
Net Profit,-1,10,17,5,-7,-22,-87,-61,-31,-11,74,1,-115
EPS in Rs,,8.81,14.75,7.30,-2.32,-16.58,-62.03,-44.13,-27.26,-7.53,64.23,0.85,-98.79
