,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,848","3,723","2,529","1,846","1,741","1,541","1,480","1,824","2,476","3,237","3,144","2,913","3,118"
Expenses +,"2,190","3,005","1,930","1,355","1,507","1,331","1,163","1,395","2,099","2,781","2,792","2,567","2,850"
Operating Profit,658,718,599,491,234,210,316,429,377,455,352,346,268
OPM %,23%,19%,24%,27%,13%,14%,21%,24%,15%,14%,11%,12%,9%
Other Income +,160,232,312,229,265,247,222,176,222,255,34,130,175
Interest,4,4,1,1,2,2,5,2,3,4,6,3,1
Depreciation,15,20,11,15,20,25,23,24,22,24,24,24,25
Profit before tax,798,927,898,704,477,430,511,579,574,683,356,449,416
Tax %,33%,31%,30%,31%,34%,35%,35%,34%,35%,36%,27%,24%,
Net Profit,531,644,632,483,313,278,330,383,368,424,249,140,260
EPS in Rs,7.88,9.55,9.38,7.16,4.64,4.13,4.90,6.07,5.83,6.71,4.43,2.48,4.62
