,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,139,279,333,314,332,351,347,892,341,320,487,785
Expenses +,98,235,295,284,304,317,312,814,289,252,419,742
Operating Profit,40,43,38,31,28,33,35,78,52,68,68,43
OPM %,29%,16%,11%,10%,8%,10%,10%,9%,15%,21%,14%,6%
Other Income +,11,12,14,14,7,13,110,19,9,4,7,6
Interest,9,20,38,30,24,32,58,54,50,108,189,204
Depreciation,4,6,12,10,11,12,14,14,15,42,70,71
Profit before tax,38,29,3,5,0,3,73,29,-4,-78,-184,-226
Tax %,30%,36%,117%,43%,229%,78%,25%,121%,-14%,12%,14%,
Net Profit,26,19,-0,3,-0,1,55,-6,-5,-69,-158,-188
EPS in Rs,1.39,0.98,-0.02,0.14,-0.01,0.03,2.24,-0.22,-0.20,-2.81,-5.98,-3.77
