,Mar 2008,Jun 2009,Jun 2010,Jun 2011,Jun 2012,Jun 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,21,59,56,88,78,113,326,640,450,323
Expenses +,16,46,39,65,67,110,317,626,442,337
Operating Profit,5,13,17,23,12,3,9,15,8,-15
OPM %,24%,22%,30%,26%,15%,3%,3%,2%,2%,-5%
Other Income +,0,0,0,0,0,1,1,1,1,1
Interest,0,3,3,3,4,4,7,6,5,6
Depreciation,0,5,4,3,2,1,2,1,2,3
Profit before tax,5,5,10,18,7,-2,1,7,3,-23
Tax %,0%,1%,0%,0%,7%,-8%,110%,29%,57%,-6%
Net Profit,5,5,10,18,6,-2,-0,5,1,-24
EPS in Rs,2.99,3.74,8.44,7.19,2.23,-0.57,0.21,2.20,0.41,-8.57
