,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,200,224,281,370,407,391,162,136,128,122,78,65,66
Expenses +,114,130,143,205,238,284,206,195,196,97,86,62,65
Operating Profit,87,94,138,164,168,107,-44,-59,-69,25,-8,3,1
OPM %,43%,42%,49%,44%,41%,27%,-27%,-43%,-54%,20%,-10%,5%,1%
Other Income +,2,7,5,4,9,1,16,-78,-487,71,391,-15,-31
Interest,29,33,37,54,54,62,69,65,81,74,23,24,23
Depreciation,38,44,45,67,66,71,68,61,59,31,30,35,33
Profit before tax,22,24,61,47,57,-25,-165,-263,-696,-9,330,-71,-86
Tax %,-3%,2%,14%,2%,3%,-1%,-0%,0%,-0%,21%,0%,-0%,
Net Profit,22,24,53,46,55,-25,-165,-262,-696,-7,329,-71,-86
EPS in Rs,9.33,9.81,21.04,15.44,17.95,-4.55,-46.17,-77.89,-199.69,-14.08,88.20,-25.16,-31.21
