,Jun 2005,Jun 2006,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,193,241,629,731,854,"1,005","1,071","1,041",968,"1,107","1,242","1,541","1,608"
Expenses +,153,198,537,610,689,834,914,906,892,983,"1,017","1,213","1,295"
Operating Profit,40,43,93,120,166,171,157,135,77,123,225,328,313
OPM %,21%,18%,15%,16%,19%,17%,15%,13%,8%,11%,18%,21%,19%
Other Income +,5,12,1,2,2,1,4,5,6,2,3,2,2
Interest,4,6,22,19,11,12,6,24,21,26,22,14,16
Depreciation,4,6,24,31,47,61,63,68,72,71,73,79,73
Profit before tax,37,43,49,72,110,99,91,48,-9,29,132,237,226
Tax %,32%,27%,12%,20%,24%,17%,15%,15%,69%,16%,30%,35%,
Net Profit,25,31,43,58,83,82,77,41,-3,24,93,155,162
EPS in Rs,,,4.64,6.29,8.99,8.89,8.36,4.47,-0.31,2.62,10.10,16.80,17.56
