,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Sales +,637,474,562,"37,516","36,505","98,602","83,206","52,597","60,869","70,831","85,623","85,580"
Expenses +,753,524,612,"36,389","35,410","94,779","78,471","46,906","55,768","64,534","81,646","80,584"
Operating Profit,-116,-50,-50,"1,128","1,094","3,823","4,735","5,690","5,101","6,298","3,977","4,996"
OPM %,-18%,-10%,-9%,3%,3%,4%,6%,11%,8%,9%,5%,6%
Other Income +,50,10,15,190,877,957,111,"1,352","-1,467",-250,"1,476",955
Interest,21,11,6,"1,120","1,195","3,296","2,567","2,685","3,772","3,368","2,563","2,750"
Depreciation,5,5,3,672,736,"1,355",757,"1,573","1,681","1,701","1,837","2,224"
Profit before tax,-92,-55,-44,-475,40,129,"1,521","2,784","-1,819",978,"1,054",978
Tax %,-2%,-24%,7%,4%,13%,3%,0%,54%,-51%,41%,35%,-156%
Net Profit,-94,-67,-41,-455,45,127,"1,527","1,281","-2,755",577,688,"2,500"
EPS in Rs,-0.82,-0.56,-0.33,-3.82,0.25,0.84,10.10,8.47,-18.21,3.81,4.49,16.37
