,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,120","2,123","2,637","3,111","2,983","2,933","2,987","2,940","2,962","2,771","2,326","3,817","4,100"
Expenses +,"1,775","1,991","2,284","2,724","2,637","2,535","2,660","2,713","2,798","2,587","2,151","3,385","3,672"
Operating Profit,345,132,353,387,346,398,326,227,164,184,175,432,428
OPM %,16%,6%,13%,12%,12%,14%,11%,8%,6%,7%,8%,11%,10%
Other Income +,29,19,2,27,32,30,35,43,32,43,39,38,73
Interest,88,117,133,136,125,126,110,117,120,109,83,68,69
Depreciation,90,98,115,118,135,149,132,124,124,132,128,113,115
Profit before tax,196,-64,107,160,117,153,118,28,-47,-13,3,290,316
Tax %,30%,16%,31%,36%,27%,27%,12%,25%,19%,-7%,-499%,15%,
Net Profit,138,-53,73,102,86,112,104,21,-38,-13,21,246,256
EPS in Rs,28.89,-9.23,15.49,21.74,18.65,24.24,22.10,4.45,-8.13,-2.85,4.42,52.28,54.36
