,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,61,101,121,128,152,180,269,517,515,257,248,288
Expenses +,83,109,109,97,108,121,166,359,346,214,197,237
Operating Profit,-22,-8,12,31,43,59,103,158,169,43,51,51
OPM %,-36%,-8%,10%,24%,29%,33%,38%,31%,33%,17%,20%,18%
Other Income +,1,1,3,4,2,4,3,32,10,56,31,27
Interest,3,6,10,15,20,21,19,47,59,51,44,43
Depreciation,3,7,7,9,10,10,11,28,64,50,37,32
Profit before tax,-27,-20,-2,10,15,32,76,115,56,-2,1,3
Tax %,-1%,-7%,0%,0%,0%,-3%,35%,27%,55%,-947%,"1,665%",
Net Profit,-28,-21,-2,10,15,34,49,83,25,-21,-13,-15
EPS in Rs,-1.05,-0.81,-0.06,0.31,0.47,1.04,1.51,2.33,1.34,-0.27,-0.08,-0.07
