,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,133,122,126,132,7,38,41,51,34,46,117,128,139
Expenses +,125,113,112,111,12,62,53,59,44,50,112,126,137
Operating Profit,8,9,15,21,-5,-24,-12,-8,-10,-4,5,1,1
OPM %,6%,7%,12%,16%,-73%,-62%,-30%,-16%,-30%,-10%,4%,1%,1%
Other Income +,7,-2,-49,-1,7,3,1,3,-0,2,2,1,2
Interest,2,2,2,2,0,0,0,0,0,1,3,4,3
Depreciation,2,2,2,2,0,1,1,1,1,1,1,1,1
Profit before tax,10,3,-39,16,1,-21,-12,-6,-11,-5,3,-2,-1
Tax %,24%,7%,-11%,28%,1%,-0%,-6%,0%,0%,0%,0%,0%,
Net Profit,8,3,-43,12,1,-22,-13,-6,-11,-5,3,-2,-1
EPS in Rs,3.93,1.58,-21.87,5.91,0.64,-20.40,-13.72,-5.62,-10.58,-4.79,2.58,-1.76,-0.89
