,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,269,448,657,348,187,101,175,232,84,33,28,15,11
Expenses +,238,451,610,340,244,113,176,240,80,33,28,18,32
Operating Profit,31,-3,47,8,-57,-13,-1,-8,4,-0,0,-3,-21
OPM %,11%,-1%,7%,2%,-30%,-12%,-1%,-4%,4%,-1%,1%,-18%,-196%
Other Income +,3,22,11,2,1,2,2,2,16,24,2,111,131
Interest,11,23,41,48,59,62,1,2,1,1,1,1,1
Depreciation,9,13,17,12,19,20,20,20,6,6,6,5,4
Profit before tax,14,-17,0,-50,-134,-93,-20,-28,13,16,-5,102,105
Tax %,21%,-1%,0%,-0%,0%,0%,0%,0%,0%,0%,0%,0%,
Net Profit,11,-17,0,-50,-134,-93,-20,-28,13,16,-5,102,105
EPS in Rs,2.44,-3.82,0.01,-11.09,-29.81,-20.63,-3.91,-4.93,2.88,3.60,-1.12,22.57,23.35
