,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,713,869,"1,043","1,251","1,525","1,685","1,731","1,713","1,715","1,610","1,651","2,095","2,381"
Expenses +,645,794,957,"1,169","1,417","1,541","1,497","1,523","1,550","1,477","1,460","1,888","2,178"
Operating Profit,69,75,86,82,108,144,234,189,165,133,191,207,202
OPM %,10%,9%,8%,7%,7%,9%,14%,11%,10%,8%,12%,10%,8%
Other Income +,0,1,2,3,7,4,13,10,5,-15,-7,13,9
Interest,17,21,20,19,21,22,39,40,46,49,40,30,31
Depreciation,17,18,20,22,27,28,31,41,44,59,62,64,65
Profit before tax,34,36,48,44,68,97,177,118,80,10,83,126,116
Tax %,31%,31%,32%,39%,33%,32%,35%,33%,34%,-104%,27%,26%,
Net Profit,24,25,32,28,47,68,115,79,53,20,61,93,86
EPS in Rs,6.92,7.28,9.28,7.43,11.94,15.27,23.16,16.62,10.93,3.54,13.45,20.88,19.93
